Kod,Razem,0 – 4,5 - 9,10 - 14,15 - 19,20 - 24,25 - 29,30 - 34,35 - 39,40 - 44,45 - 49,50 - 54,55 - 59,60 - 64,65 - 69,70 - 74,75 - 79,80 - 84,85 - 89,90 - 94,95 lat i więcej
A15.3          ,18,-,-,-,-,-,-,-,2,1,2,5,1,-,2,-,1,3,-,1,-
A15.5          ,3,-,-,-,-,-,-,-,-,-,1,1,-,1,-,-,-,-,-,-,-
A15.6          ,6,-,-,-,-,-,-,-,-,-,-,-,-,2,3,-,1,-,-,-,-
A15.7          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
A15.8          ,12,-,-,-,-,-,-,1,2,-,-,-,2,1,1,2,1,1,1,-,-
A15.9          ,43,-,-,-,-,-,-,1,2,5,2,5,7,5,6,2,4,1,3,-,-
A16.0          ,36,-,-,-,-,-,-,-,2,1,2,3,4,6,7,3,1,2,1,3,1
A16.1          ,15,-,-,-,-,-,-,1,-,1,1,3,1,2,3,1,2,-,-,-,-
A16.2          ,38,-,-,-,-,-,1,-,2,2,5,5,7,5,4,2,2,2,1,-,-
A16.4          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
A16.7          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
A16.8          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,2,1,-,-,-,-,-
A16.9          ,37,-,-,-,-,-,-,2,4,2,2,4,5,7,4,-,6,-,1,-,-
A17.0          ,2,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-,-,-,-,-,-
A18.0          ,3,-,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-
A18.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
A18.3          ,3,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,1,-,-,-
A18.8          ,3,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,1,-,-,-
A19.1          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-
A19.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-
A31.0          ,2,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-
A31.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-
A32.1          ,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-
A32.7          ,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
A39.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
A39.1          ,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
A39.2          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
A39.4          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
A40.8          ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
A41.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
A41.4          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
A41.5          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
A41.8          ,2,-,-,-,-,-,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-
A41.9          ,17,-,-,-,-,-,1,1,3,-,2,2,1,1,2,1,-,1,-,2,-
A42.0          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
A46            ,14,-,-,-,-,-,-,-,1,-,1,-,-,1,3,2,1,1,2,2,-
A48.0          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
A48.8          ,10,-,-,-,-,-,-,-,-,-,1,-,2,1,-,2,2,-,2,-,-
A49.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
A49.9          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-
A69.2          ,7,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,5,1,-,-,-
A81.0          ,23,-,-,-,-,-,-,-,-,-,-,-,4,3,6,5,4,1,-,-,-
A81.1          ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
A81.2          ,2,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-,-
A81.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
A81.9          ,4,-,-,-,-,-,-,-,-,-,-,1,2,-,1,-,-,-,-,-,-
A85.8          ,2,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-
A86            ,7,-,-,-,-,-,-,-,1,-,2,-,-,1,2,1,-,-,-,-,-
A87.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
A87.8          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B00.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-
B00.4          ,3,-,-,-,-,-,-,-,-,-,-,1,1,1,-,-,-,-,-,-,-
B01.1          ,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B01.8          ,2,-,-,-,-,-,1,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B02.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B02.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
B02.8          ,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1
B15.9          ,2,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-,-
B16.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B16.9          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
B17.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B18.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
B18.1          ,27,-,-,-,-,-,1,1,1,-,5,4,2,3,4,2,1,1,1,1,-
B18.2          ,89,-,-,-,-,-,2,-,3,4,6,5,10,26,11,8,3,4,6,1,-
B18.8          ,2,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B19.9          ,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-
B20.0          ,3,-,-,-,-,-,-,-,-,1,1,-,-,-,1,-,-,-,-,-,-
B20.1          ,8,-,-,-,-,-,-,1,2,3,1,-,1,-,-,-,-,-,-,-,-
B20.3          ,3,-,-,-,-,-,-,-,1,-,2,-,-,-,-,-,-,-,-,-,-
B20.4          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B20.5          ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
B20.6          ,14,-,-,-,-,-,2,3,-,2,3,1,1,2,-,-,-,-,-,-,-
B20.7          ,4,-,-,-,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-
B20.8          ,4,-,-,-,-,-,-,-,-,1,1,2,-,-,-,-,-,-,-,-,-
B20.9          ,5,-,-,-,-,-,-,-,1,3,-,1,-,-,-,-,-,-,-,-,-
B21.0          ,3,-,-,-,-,2,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
B21.2          ,4,-,-,-,-,-,-,2,-,-,-,1,-,1,-,-,-,-,-,-,-
B21.3          ,3,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-,-,-,-
B21.7          ,1,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-
B21.8          ,2,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-,-
B21.9          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
B22.0          ,3,-,-,-,-,-,1,-,-,-,-,1,-,1,-,-,-,-,-,-,-
B22.1          ,9,-,-,-,-,1,-,1,1,4,-,-,1,1,-,-,-,-,-,-,-
B22.2          ,7,-,-,-,-,-,-,-,3,1,-,1,2,-,-,-,-,-,-,-,-
B22.7          ,13,-,-,-,-,-,-,1,5,2,-,4,-,1,-,-,-,-,-,-,-
B23.1          ,1,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-
B23.2          ,6,-,-,-,-,-,-,1,1,1,-,1,1,-,1,-,-,-,-,-,-
B23.8          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
B25.0          ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
B25.8          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
B25.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
B33.0          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B34.9          ,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
B37.1          ,2,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,1,-,-,-,-
B37.7          ,8,2,-,-,-,-,-,-,-,-,1,-,1,1,-,1,-,-,-,2,-
B37.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
B44.0          ,14,-,-,-,-,1,-,-,-,-,1,3,2,4,1,2,-,-,-,-,-
B44.1          ,5,-,-,-,-,-,-,1,-,-,-,1,1,-,1,-,-,1,-,-,-
B44.8          ,5,-,-,-,-,-,-,1,-,1,-,-,1,1,1,-,-,-,-,-,-
B44.9          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
B45.1          ,2,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,1,-,-,-,-
B48.7          ,1,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-
B58.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
B59            ,7,-,-,-,-,-,-,-,2,-,-,1,-,2,-,1,-,-,1,-,-
B67.0          ,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-
B67.9          ,2,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-
B90.8          ,2,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-
B90.9          ,9,-,-,-,-,-,-,-,1,-,-,1,-,3,-,1,-,2,-,1,-
C00.0          ,5,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,1,-,1,2,-
C00.1          ,48,-,-,-,-,-,-,-,1,-,-,-,1,-,6,9,3,10,10,7,1
C00.2          ,3,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,2,-,-
C00.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C00.4          ,6,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,2,1,1
C00.5          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,1,-,-
C00.8          ,12,-,-,-,-,-,-,-,-,-,-,-,1,2,-,3,1,1,1,3,-
C00.9          ,34,-,-,-,-,-,-,-,-,-,-,-,-,6,5,6,2,5,4,6,-
C01            ,194,-,-,-,-,1,-,1,2,2,7,16,26,46,44,24,11,8,4,2,-
C02.0          ,9,-,-,-,-,-,-,-,-,-,1,2,2,2,-,-,-,1,-,1,-
C02.1          ,17,-,-,-,-,-,-,-,-,1,-,1,1,6,4,3,1,-,-,-,-
C02.2          ,2,-,-,-,-,-,-,-,-,-,-,-,-,2,-,-,-,-,-,-,-
C02.3          ,4,-,-,-,-,-,-,-,-,-,1,-,-,2,-,-,1,-,-,-,-
C02.4          ,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
C02.8          ,114,-,-,-,-,-,-,2,3,2,8,8,22,24,16,10,7,7,2,2,1
C02.9          ,240,-,-,-,-,-,-,-,2,5,11,13,36,48,56,26,12,13,11,6,1
C03.0          ,10,-,-,-,-,-,-,-,-,-,-,1,-,1,1,1,3,1,-,1,1
C03.1          ,23,-,-,-,-,-,-,-,-,1,1,2,4,2,7,3,-,1,1,1,-
C03.9          ,35,-,-,-,1,-,-,-,-,-,3,-,2,5,7,5,5,3,3,-,1
C04.0          ,18,-,-,-,-,-,-,-,-,1,1,2,1,6,3,2,1,-,-,1,-
C04.1          ,18,-,-,-,-,-,-,-,-,-,-,2,5,3,4,3,1,-,-,-,-
C04.8          ,116,-,-,-,-,-,1,-,-,2,5,17,15,31,27,8,4,3,2,1,-
C04.9          ,251,-,-,-,-,-,-,-,2,13,17,28,39,49,47,19,18,10,6,3,-
C05.0          ,7,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,3,1,1,-,-
C05.1          ,14,-,-,-,-,-,-,-,-,-,1,-,3,4,2,3,1,-,-,-,-
C05.2          ,5,-,-,-,-,-,-,-,1,-,-,1,-,1,1,1,-,-,-,-,-
C05.8          ,12,-,-,-,-,-,-,-,-,-,2,2,2,2,2,1,-,-,-,1,-
C05.9          ,40,-,-,-,-,-,-,-,-,-,-,2,7,12,7,5,1,2,2,1,1
C06.0          ,21,-,-,-,-,-,-,-,-,1,-,-,1,2,-,2,3,5,4,2,1
C06.1          ,2,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,-,-,-
C06.2          ,12,-,-,-,-,-,-,-,-,-,1,-,2,4,3,1,-,-,1,-,-
C06.8          ,43,-,-,-,-,-,-,-,-,-,2,4,7,10,5,2,3,3,6,1,-
C06.9          ,108,-,-,-,-,-,-,-,-,3,8,8,12,24,17,11,5,6,10,4,-
C07            ,166,-,-,-,-,-,-,1,-,3,4,13,16,23,22,16,21,19,22,4,2
C08.0          ,19,-,-,-,-,-,-,1,1,2,1,-,1,3,2,5,-,1,1,1,-
C08.8          ,18,-,-,-,-,-,-,-,-,1,-,1,1,4,2,4,3,1,-,1,-
C08.9          ,16,-,-,-,-,-,-,-,-,-,-,-,1,3,6,-,3,-,3,-,-
C09.0          ,13,-,-,-,-,-,-,-,-,-,-,1,2,4,3,-,2,1,-,-,-
C09.1          ,18,-,-,-,-,-,-,-,-,-,-,5,1,1,4,3,1,3,-,-,-
C09.8          ,135,-,-,-,-,-,1,1,-,3,6,7,20,28,27,26,8,5,2,1,-
C09.9          ,245,-,-,-,-,-,-,1,1,3,3,25,37,63,53,34,11,9,4,1,-
C10.0          ,5,-,-,-,-,-,-,-,-,-,1,1,-,-,1,1,-,1,-,-,-
C10.1          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,1,-,-,-
C10.2          ,5,-,-,-,-,-,-,-,-,-,-,-,3,2,-,-,-,-,-,-,-
C10.3          ,3,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,1,-,-
C10.4          ,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-
C10.8          ,84,-,-,-,-,-,-,-,1,1,5,7,17,18,17,8,4,3,3,-,-
C10.9          ,134,-,-,-,-,-,-,-,1,4,7,10,17,39,23,15,7,5,3,3,-
C11.0          ,15,-,-,-,-,-,-,-,-,2,1,1,5,2,1,2,-,-,-,1,-
C11.1          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-
C11.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C11.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C11.8          ,45,-,-,-,-,1,1,-,4,1,4,3,3,11,8,4,4,1,-,-,-
C11.9          ,56,-,-,-,-,-,-,-,1,3,1,4,4,5,14,17,4,2,-,1,-
C12            ,110,-,-,-,-,-,-,-,1,4,5,5,17,28,29,15,1,4,1,-,-
C13.0          ,6,-,-,-,-,-,-,-,-,-,-,-,-,1,3,1,-,1,-,-,-
C13.1          ,3,-,-,-,-,-,-,-,-,-,1,-,1,-,1,-,-,-,-,-,-
C13.2          ,10,-,-,-,-,-,-,-,-,-,-,1,2,2,-,2,3,-,-,-,-
C13.8          ,145,-,-,-,-,-,-,-,1,1,7,16,16,35,32,18,7,10,2,-,-
C13.9          ,141,-,-,-,-,-,-,-,1,-,7,8,28,27,29,18,15,2,3,2,1
C14.0          ,120,-,-,-,-,-,-,-,2,3,5,11,18,24,29,8,6,7,4,1,2
C14.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-
C14.8          ,64,-,-,-,-,-,-,-,-,3,5,3,10,10,15,6,3,5,1,3,-
C15.0          ,40,-,-,-,-,-,-,-,-,-,1,1,3,8,12,7,3,4,-,-,1
C15.1          ,94,-,-,-,-,-,1,-,2,-,1,6,10,17,22,15,12,3,4,1,-
C15.2          ,30,-,-,-,-,-,-,-,-,-,1,2,1,3,11,1,6,2,2,-,1
C15.3          ,14,-,-,-,-,-,-,-,-,1,-,2,1,2,5,1,1,1,-,-,-
C15.4          ,17,-,-,-,-,-,-,-,-,-,-,-,1,4,3,6,1,1,1,-,-
C15.5          ,76,-,-,-,-,-,-,-,-,1,5,6,4,18,17,14,3,6,2,-,-
C15.8          ,568,-,-,-,-,-,-,1,2,3,17,33,70,125,124,79,49,36,19,7,3
C15.9          ,806,-,-,-,-,-,1,-,3,8,23,51,115,147,166,115,79,59,30,8,1
C16.0          ,286,-,-,-,-,1,2,2,2,3,9,15,20,49,49,36,35,30,23,9,1
C16.1          ,37,-,-,-,-,-,-,1,-,-,2,-,5,1,7,3,8,7,2,1,-
C16.2          ,224,-,-,-,-,-,-,-,3,1,5,11,14,28,37,37,24,35,21,7,1
C16.3          ,37,-,-,-,-,-,-,-,-,-,2,2,3,2,9,3,3,6,7,-,-
C16.4          ,83,-,-,-,-,-,-,-,-,3,1,4,5,12,12,13,8,8,12,5,-
C16.5          ,37,-,-,-,-,-,-,-,1,-,-,1,1,4,9,6,3,6,3,2,1
C16.6          ,18,-,-,-,-,-,-,-,-,-,1,1,2,1,2,4,-,4,3,-,-
C16.8          ,1677,-,-,-,-,2,4,3,14,30,37,69,122,209,310,259,210,211,143,46,8
C16.9          ,2433,-,-,-,-,1,4,10,22,40,60,87,168,309,405,378,308,333,219,79,10
C17.0          ,57,-,-,-,-,-,-,-,1,-,-,1,6,7,9,6,12,7,4,4,-
C17.1          ,6,-,-,-,-,-,-,-,-,-,-,-,1,1,2,1,1,-,-,-,-
C17.2          ,16,-,-,-,-,-,-,-,-,-,1,2,-,4,2,2,4,-,-,1,-
C17.8          ,77,-,-,-,-,-,-,-,-,4,2,4,7,10,13,13,8,10,3,3,-
C17.9          ,111,-,-,-,-,-,-,1,1,1,4,5,8,13,14,17,18,16,9,4,-
C18.0          ,290,-,-,-,-,-,-,-,-,3,8,7,11,25,36,28,42,52,56,17,5
C18.1          ,23,-,-,-,-,-,-,1,1,1,-,1,-,4,5,5,4,1,-,-,-
C18.2          ,457,-,-,-,-,-,2,-,1,1,4,6,23,28,54,77,75,72,75,32,7
C18.3          ,206,-,-,-,1,-,-,-,1,2,1,4,10,21,41,22,32,37,24,8,2
C18.4          ,216,-,-,-,-,-,-,1,-,1,3,6,7,20,28,35,36,33,25,17,4
C18.5          ,146,-,-,-,-,-,-,-,-,3,1,5,8,12,28,17,24,25,14,8,1
C18.6          ,173,-,-,-,-,-,-,-,-,2,4,7,7,20,29,33,26,20,14,11,-
C18.7          ,1302,-,-,-,-,-,1,2,5,11,22,34,58,124,194,207,202,208,161,60,13
C18.8          ,2288,-,-,-,-,1,3,3,11,17,43,61,138,257,403,371,313,310,232,109,16
C18.9          ,2767,-,-,-,-,1,1,11,13,14,45,59,138,280,419,431,426,452,324,123,30
C19            ,729,-,-,-,-,-,-,1,2,9,12,19,52,97,119,124,106,100,59,24,5
C20            ,3555,-,-,-,-,-,2,4,10,25,69,106,231,437,554,582,504,506,368,125,32
C21.0          ,151,-,-,-,-,-,-,-,1,3,3,6,10,14,24,12,14,28,21,12,3
C21.1          ,29,-,-,-,-,-,-,-,-,-,-,1,1,6,6,4,5,4,1,1,-
C21.2          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-
C21.8          ,57,-,-,-,-,-,-,-,-,1,2,1,5,10,12,8,3,9,4,2,-
C22.0          ,474,-,-,-,-,1,2,-,2,13,9,22,50,67,83,91,50,42,32,10,-
C22.1          ,227,-,1,-,-,1,1,-,4,8,4,9,19,33,38,43,24,20,16,3,3
C22.2          ,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
C22.3          ,2,-,-,-,-,-,-,-,-,-,-,-,1,1,-,-,-,-,-,-,-
C22.4          ,2,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-
C22.7          ,307,-,-,-,-,-,-,1,1,2,8,17,14,45,48,54,37,37,31,8,4
C22.9          ,1046,-,-,-,-,-,2,2,8,9,18,42,74,113,177,158,138,146,104,49,6
C23            ,831,-,-,-,-,-,-,-,1,5,13,14,43,99,146,168,111,105,89,30,7
C24.0          ,94,-,-,-,-,-,-,-,-,2,2,4,8,9,18,13,11,11,13,2,1
C24.1          ,214,-,-,-,-,-,-,-,-,2,4,9,7,23,28,31,37,42,19,10,2
C24.8          ,260,-,-,-,-,-,1,2,3,-,7,5,18,37,46,44,32,33,29,3,-
C24.9          ,364,-,-,-,-,-,-,2,2,6,9,13,28,40,57,51,54,53,33,14,2
C25.0          ,972,-,-,-,-,-,-,2,4,7,9,30,74,143,175,175,123,124,69,28,9
C25.1          ,148,-,-,-,-,-,-,1,-,-,5,2,14,24,26,24,27,16,6,2,1
C25.2          ,128,-,-,-,-,-,-,-,-,4,4,8,12,19,20,29,14,12,1,5,-
C25.3          ,6,-,-,-,-,-,-,-,-,-,-,-,2,1,2,-,1,-,-,-,-
C25.4          ,13,-,-,-,-,-,-,-,-,1,2,1,-,1,4,1,2,1,-,-,-
C25.7          ,31,-,-,-,-,-,-,-,-,1,-,-,1,3,10,5,6,4,-,1,-
C25.8          ,1625,-,-,-,-,1,1,3,14,12,34,54,110,259,339,266,183,189,108,44,8
C25.9          ,2145,-,-,-,-,-,-,2,5,14,43,64,156,300,399,369,294,265,175,47,12
C26.0          ,68,-,-,-,-,-,-,-,1,-,1,2,3,2,10,9,6,17,15,2,-
C26.1          ,4,-,-,-,-,-,-,-,-,-,-,-,-,1,1,-,2,-,-,-,-
C26.8          ,139,1,-,-,-,-,1,-,1,1,3,4,4,15,23,17,19,26,13,10,1
C26.9          ,195,-,-,-,-,-,-,-,2,-,6,8,9,23,34,24,26,26,26,6,5
C30.0          ,34,-,-,-,-,-,-,-,1,-,2,4,3,1,3,6,3,4,4,2,1
C30.1          ,18,-,-,-,-,-,-,-,-,1,-,-,-,3,2,2,-,4,5,1,-
C31.0          ,54,-,-,-,-,-,1,2,-,-,1,6,6,5,12,6,5,3,3,4,-
C31.1          ,8,-,-,-,-,-,-,-,-,-,1,-,-,-,3,-,1,2,1,-,-
C31.2          ,2,-,-,-,-,-,-,-,-,-,-,-,-,1,-,1,-,-,-,-,-
C31.3          ,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-
C31.8          ,32,-,-,-,-,-,-,-,-,-,3,-,6,4,3,7,6,1,1,1,-
C31.9          ,37,-,-,-,-,-,-,-,3,-,1,2,3,4,10,3,6,2,2,-,1
C32.0          ,79,-,-,-,-,-,-,-,-,-,1,3,5,20,15,22,4,4,3,2,-
C32.1          ,39,-,-,-,-,-,-,-,-,-,-,4,3,12,4,8,-,4,4,-,-
C32.2          ,1,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-
C32.3          ,4,-,-,-,-,-,-,-,-,-,-,-,-,3,1,-,-,-,-,-,-
C32.8          ,524,-,-,-,-,-,-,1,1,3,16,33,68,108,116,102,33,27,14,2,-
C32.9          ,811,-,-,-,-,-,-,-,-,6,14,25,86,172,193,142,75,54,32,9,3
C33            ,29,-,-,-,-,-,-,-,-,1,-,-,3,1,8,7,2,4,2,1,-
C34.0          ,468,-,-,-,-,-,-,-,2,3,4,21,54,87,106,82,45,46,17,1,-
C34.1          ,743,-,-,-,-,-,-,-,1,5,5,28,52,148,195,136,87,60,21,5,-
C34.2          ,3048,-,-,-,-,-,-,1,3,14,36,88,237,558,676,612,344,266,156,51,6
C34.3          ,253,-,-,-,-,-,-,-,-,-,2,6,16,44,56,55,35,30,6,2,1
C34.8          ,7446,-,-,-,-,-,-,4,15,40,78,237,624,1313,1841,1436,823,593,325,107,10
C34.9          ,11149,-,-,-,-,1,2,8,19,39,93,312,859,1853,2554,2141,1462,1077,566,139,24
C37            ,22,-,-,-,-,-,1,-,-,1,1,1,1,3,3,3,1,5,2,-,-
C38.0          ,9,-,-,-,-,-,-,-,1,-,1,-,1,1,1,1,-,3,-,-,-
C38.1          ,23,-,-,-,-,-,2,1,-,2,-,-,1,4,3,4,-,5,1,-,-
